band,nanometer,noise
1,0.382669985,0
2,0.387679994,0
3,0.392679989,0
4,0.397700012,0
5,0.402700007,0
6,0.407709986,0
7,0.412719995,0
8,0.417730004,0
9,0.422740012,0
10,0.427749991,0
11,0.43276,0
12,0.437770009,0
13,0.442779988,0
14,0.447789997,0
15,0.452800006,0
16,0.457810014,0
17,0.462819993,0
18,0.467830002,0
19,0.472840011,0
20,0.47784999,0
21,0.482859999,0
22,0.487870008,0
23,0.492879987,0
24,0.497880012,0
25,0.502889991,0
26,0.5079,0
27,0.512910008,0
28,0.517920017,0
29,0.522930026,0
30,0.527939975,0
31,0.532949984,0
32,0.537959993,0
33,0.542970002,0
34,0.547980011,0
35,0.552990019,0
36,0.558000028,0
37,0.563009977,0
38,0.568019986,0
39,0.573029995,0
40,0.578040004,0
41,0.583050013,0
42,0.588060021,0
43,0.593069971,0
44,0.598070025,0
45,0.603079975,0
46,0.608089983,0
47,0.613099992,0
48,0.618110001,0
49,0.62312001,0
50,0.628130019,0
51,0.633140028,0
52,0.638149977,0
53,0.643159986,0
54,0.648169994,0
55,0.653180003,0
56,0.658190012,0
57,0.663200021,0
58,0.66821003,0
59,0.673219979,0
60,0.678229988,0
61,0.683239996,0
62,0.688250005,0
63,0.693260014,0
64,0.698270023,0
65,0.703279972,0
66,0.708280027,0
67,0.713289976,0
68,0.718299985,0
69,0.723309994,0
70,0.728320003,0
71,0.733330011,0
72,0.73834002,0
73,0.743350029,0
74,0.748359978,0
75,0.753369987,0
76,0.758379996,0
77,0.763390005,0
78,0.768400013,0
79,0.773410022,0
80,0.778419971,0
81,0.78342998,0
82,0.788439989,0
83,0.793449998,0
84,0.798460007,0
85,0.803470016,0
86,0.808480024,0
87,0.813489974,0
88,0.818490028,0
89,0.823499978,0
90,0.828509986,0
91,0.833519995,0
92,0.838530004,0
93,0.843540013,0
94,0.848550022,0
95,0.853559971,0
96,0.85856998,0
97,0.863579988,0
98,0.868589997,0
99,0.873600006,0
100,0.878610015,0
101,0.883620024,0
102,0.888629973,0
103,0.893639982,0
104,0.898649991,0
105,0.903659999,0
106,0.908670008,0
107,0.913680017,0
108,0.918680012,0
109,0.923690021,0
110,0.92869997,0
111,0.933709979,0
112,0.938719988,0
113,0.943729997,0
114,0.948740005,0
115,0.953750014,0
116,0.958760023,0
117,0.963769972,0
118,0.968779981,0
119,0.97378999,0
120,0.978799999,0
121,0.983810008,0
122,0.988820016,0
123,0.993830025,0
124,0.998839974,0
125,1.003849983,0
126,1.008859992,0
127,1.013859987,0
128,1.018869996,0
129,1.023880005,0
130,1.028890014,0
131,1.033900023,0
132,1.038910031,0
133,1.04392004,0
134,1.048930049,0
135,1.053940058,0
136,1.058949947,0
137,1.063959956,0
138,1.068969965,0
139,1.073979974,0
140,1.078989983,0
141,1.083999991,0
142,1.08901,0
143,1.094020009,0
144,1.099030018,0
145,1.104040027,0
146,1.109050035,0
147,1.114060044,0
148,1.11906004,0
149,1.124070048,0
150,1.129080057,0
151,1.134089947,0
152,1.139099956,0
153,1.144109964,0
154,1.149119973,0
155,1.154129982,0
156,1.159139991,0
157,1.16415,0
158,1.169160008,0
159,1.174170017,0
160,1.179180026,0
161,1.184190035,0
162,1.189200044,0
163,1.194210052,0
164,1.199219942,0
