band,nanometer,noise
165,1.204229951,0
166,1.20923996,0
167,1.214249969,0
168,1.219259977,0
169,1.224259973,0
170,1.229269981,0
171,1.23427999,0
172,1.239289999,0
173,1.244300008,0
174,1.249310017,0
175,1.254320025,0
176,1.259330034,0
177,1.264340043,0
178,1.269350052,0
179,1.274359941,0
180,1.27936995,0
181,1.284379959,0
182,1.289389968,0
183,1.294399977,0
184,1.299409986,0
185,1.304419994,0
186,1.309430003,0
187,1.314440012,0
188,1.319450021,0
189,1.324450016,0
190,1.329460025,0
191,1.334470034,0
192,1.339480042,0
193,1.344490051,1
194,1.349499941,1
195,1.35450995,1
196,1.359519958,1
197,1.364529967,1
198,1.369539976,1
199,1.374549985,1
200,1.379559994,1
201,1.384570003,1
202,1.389580011,1
203,1.39459002,1
204,1.399600029,1
205,1.404610038,1
206,1.409620047,1
207,1.414630055,1
208,1.419639945,1
209,1.424649954,1
210,1.429649949,1
211,1.434659958,0
212,1.439669967,0
213,1.444679976,0
214,1.449689984,0
215,1.454699993,0
216,1.459710002,0
217,1.464720011,0
218,1.46973002,0
219,1.474740028,0
220,1.479750037,0
221,1.484760046,0
222,1.489770055,0
223,1.494779944,0
224,1.499789953,0
225,1.504799962,0
226,1.509809971,0
227,1.51481998,0
228,1.519829988,0
229,1.524839997,0
230,1.529839993,0
231,1.534850001,0
232,1.53986001,0
233,1.544870019,0
234,1.549880028,0
235,1.554890037,0
236,1.559900045,0
237,1.564910054,0
238,1.569919944,0
239,1.574929953,0
240,1.579939961,0
241,1.58494997,0
242,1.589959979,0
243,1.594969988,0
244,1.599979997,0
245,1.604990005,0
246,1.610000014,0
247,1.615010023,0
248,1.620020032,0
249,1.625030041,0
250,1.63004005,0
251,1.635040045,0
252,1.640050054,0
253,1.645059943,0
254,1.650069952,0
255,1.655079961,0
256,1.66008997,0
257,1.665099978,0
258,1.670109987,0
259,1.675119996,0
260,1.680130005,0
261,1.685140014,0
262,1.690150023,0
263,1.695160031,0
264,1.70017004,0
265,1.705180049,0
266,1.710190058,0
267,1.715199947,0
268,1.720209956,0
269,1.725219965,0
270,1.730229974,0
271,1.735229969,0
272,1.740239978,0
273,1.745249987,0
274,1.750259995,0
275,1.755270004,0
276,1.760280013,0
277,1.765290022,0
278,1.770300031,0
279,1.77531004,0
280,1.780320048,0
281,1.785330057,0
282,1.790339947,0
283,1.795349956,0
284,1.800359964,1
285,1.805369973,1
286,1.810379982,1
287,1.815389991,1
288,1.8204,1
289,1.825410008,1
290,1.830420017,1
291,1.835430026,1
292,1.840430021,1
293,1.84544003,1
294,1.850450039,1
295,1.855460048,1
296,1.860470057,1
297,1.865479946,1
298,1.870489955,1
299,1.875499964,1
300,1.880509973,1
301,1.885519981,1
302,1.89052999,1
303,1.895539999,1
304,1.900550008,1
305,1.905560017,1
306,1.910570025,1
307,1.915580034,1
308,1.920590043,1
309,1.925600052,1
310,1.930609941,1
311,1.93561995,1
312,1.940619946,1
313,1.945629954,1
314,1.950639963,1
315,1.955649972,1
316,1.960659981,0
317,1.96566999,0
318,1.970679998,0
319,1.975690007,0
320,1.980700016,0
321,1.985710025,0
322,1.990720034,0
323,1.995730042,0
324,2.000740051,0
325,2.005749941,0
326,2.010760069,0
327,2.015769958,0
328,2.020780087,0
329,2.025789976,0
330,2.030800104,0
331,2.035809994,0
332,2.040819883,0
333,2.045819998,0
334,2.050829887,0
335,2.055840015,0
336,2.060849905,0
337,2.065860033,0
338,2.070869923,0
339,2.075880051,0
340,2.08088994,0
341,2.085900068,0
342,2.090909958,0
343,2.095920086,0
344,2.100929976,0
345,2.105940104,0
346,2.110949993,0
347,2.115959883,0
348,2.120970011,0
349,2.1259799,0
350,2.130990028,0
351,2.135999918,0
352,2.141010046,0
353,2.146009922,0
354,2.15102005,0
355,2.15602994,0
356,2.161040068,0
357,2.166049957,0
358,2.171060085,0
359,2.176069975,0
360,2.181080103,0
361,2.186089993,0
362,2.191099882,0
363,2.19611001,0
364,2.2011199,0
365,2.206130028,0
366,2.211139917,0
367,2.216150045,0
368,2.221159935,0
369,2.226170063,0
370,2.231179953,0
371,2.236190081,0
372,2.24119997,0
373,2.246210098,0
374,2.251209974,0
375,2.256220102,0
376,2.261229992,0
377,2.266239882,0
378,2.27125001,0
379,2.276259899,0
380,2.281270027,0
381,2.286279917,0
382,2.291290045,0
383,2.296299934,0
384,2.301310062,0
385,2.306319952,0
386,2.31133008,0
387,2.31633997,0
388,2.321350098,0
389,2.326359987,0
390,2.331370115,0
391,2.336380005,0
392,2.341389894,0
393,2.346400023,0
394,2.351409912,0
395,2.356410027,0
396,2.361419916,0
397,2.366430044,0
398,2.371439934,0
399,2.376450062,0
400,2.381459951,0
401,2.386470079,0
402,2.391479969,0
403,2.396490097,0
404,2.401499987,0
405,2.406510115,0
406,2.411520004,0
407,2.416529894,0
408,2.421540022,0
409,2.426549911,0
410,2.43156004,0
411,2.436569929,0
412,2.441580057,0
413,2.446589947,0
414,2.451600075,0
415,2.456599951,0
416,2.461610079,0
417,2.466619968,0
418,2.471630096,0
419,2.476639986,0
420,2.481650114,1
421,2.486660004,1
422,2.491669893,1
423,2.496680021,1
424,2.501689911,1
425,2.506700039,1
426,2.511709929,1
