"","plot_id","foliar_n_per_tree","ind","plant_group","total.n"
"1","OSBS_001",1.83905012650397,3,"d",5.51715037951192
"2","OSBS_002",0.531328550452703,5,"c",2.65664275226352
"3","OSBS_008",0.3564867464686,5,"c",1.782433732343
"4","OSBS_009",3.26005553548257,6,"d",19.5603332128954
"5","OSBS_010",1.1186960636495,5,"d",5.59348031824751
"6","OSBS_011",1.06374033925266,13,"d",13.8286244102846
"7","OSBS_015",0.582408273134058,15,"d",8.73612409701087
